71.25,2023-06-08T11:40:04.031Z
51.485,2023-06-08T11:40:04.031Z
36.881,2023-06-08T11:40:07.031Z
36.161,2023-06-08T11:40:07.031Z
29.623,2023-06-08T11:40:10.030Z
36.962,2023-06-08T11:40:10.030Z
27.198,2023-06-08T11:40:13.030Z
38.757,2023-06-08T11:40:13.030Z
32.445,2023-06-08T11:40:16.030Z
34.703,2023-06-08T11:40:16.030Z
35.325,2023-06-08T11:40:19.030Z
36.325,2023-06-08T11:40:19.030Z
30.815,2023-06-08T11:40:22.031Z
37.614,2023-06-08T11:40:22.031Z
32.448,2023-06-08T11:40:25.031Z
19.998,2023-06-08T11:40:25.031Z
18.034,2023-06-08T11:40:28.030Z
20.445,2023-06-08T11:40:28.030Z
17.89,2023-06-08T11:40:31.030Z
16.939,2023-06-08T11:40:31.030Z
18.559,2023-06-08T11:40:34.030Z
17.33,2023-06-08T11:40:34.030Z
17.525,2023-06-08T11:40:37.029Z
17.679,2023-06-08T11:40:37.029Z
17.759,2023-06-08T11:40:40.029Z
17.76,2023-06-08T11:40:40.029Z
16.574,2023-06-08T11:40:43.029Z
21.72,2023-06-08T11:40:43.029Z
37.89,2023-06-08T11:40:46.029Z
40.477,2023-06-08T11:40:46.029Z
24.209,2023-06-08T11:40:49.028Z
20.431,2023-06-08T11:40:49.028Z
23.007,2023-06-08T11:40:52.028Z
23.957,2023-06-08T11:40:52.028Z
22.78,2023-06-08T11:40:55.028Z
21.836,2023-06-08T11:40:55.028Z
41.516,2023-06-08T11:40:58.028Z
19.053,2023-06-08T11:40:58.028Z
16.677,2023-06-08T11:41:01.027Z
20.821,2023-06-08T11:41:01.027Z
18.401,2023-06-08T11:41:04.027Z
20.146,2023-06-08T11:41:04.027Z
20.95,2023-06-08T11:41:07.026Z
17.934,2023-06-08T11:41:07.026Z
20.84,2023-06-08T11:41:10.026Z
20.367,2023-06-08T11:41:10.026Z
19.243,2023-06-08T11:41:13.026Z
15.896,2023-06-08T11:41:13.026Z
20.452,2023-06-08T11:41:16.026Z
21.839,2023-06-08T11:41:16.026Z
17.784,2023-06-08T11:41:19.025Z
20.625,2023-06-08T11:41:19.025Z
20.208,2023-06-08T11:41:22.025Z
18.301,2023-06-08T11:41:22.025Z
19.338,2023-06-08T11:41:25.026Z
18.101,2023-06-08T11:41:25.026Z
17.867,2023-06-08T11:41:28.026Z
